Ns,es,bs
2,0.027672638730830406,34.439062150331125
3,0.001911139110068137,3.3489245702860746
4,5.200514513470192e-5,0.4785957637111335
5,4.199114357337598e-6,0.06804198735237181
6,1.688317784838873e-7,0.022391348735046945
7,8.414836903947725e-9,0.0024436499557349803
8,4.252456210314779e-10,0.00022159243592531505
9,2.61011842671784e-11,2.0796214354253875e-5
10,1.9324850362762193e-12,3.927198789416089e-6
11,1.9506370694297328e-13,1.0857380152696942e-6
12,6.785224893728435e-14,3.815669085802467e-7
13,7.611280685832149e-14,7.927266305223208e-8
